accepted,accuracy,all_correct_rate,brier_success_only,decisions,ece_success_only,failed_decisions,false_accept_rate,false_accepts,macro_f1_by_field,model_lane,nll_success_only,p50_ms,p95_ms,review_rate,scenarios,score_expected_mae,soft_reference_brier,soft_reference_cross_entropy,status,successful_decisions
0,0.4175,0.015,0.9133360051876657,2000,0.37667546023428444,0,,0,0.24082368347210617,modernbert-nli-baseline-typed-independent,2.461779912435494,355.1878955001939,620.2391916500569,0.0,400,0.7112202394936088,0.5338367873767087,2.669749115839559,completed,2000
107,0.9675,0.87,0.06307775,400,0.041625000000000016,0,0.0,0,0.9619529620818281,jev-travel-challenge,0.1168534582540736,171.33281249971333,270.68604999967647,0.3825,100,,,,completed,400
86,0.6175,0.12,0.5423089938362167,400,0.23716561481356618,0,0.0,0,0.5262284539903254,modernbert-nli-baseline-travel-challenge,0.9238660300000506,221.54952100004266,338.3356933999494,0.5725,100,,,,completed,400
96,0.815,0.37,0.319314631960893,400,0.11994870379567141,0,0.0,0,0.7737830077550902,travel-nli-travel-challenge,0.5353629163289193,110.94712499993875,130.72719345011592,0.53,100,,,,completed,400
0,0.7375,0.2575,0.36821190000000004,2000,0.04863000000000002,0,,0,0.6099060228472472,jev-typed-independent,0.6568864767854579,177.172167000208,276.1964547996283,0.0,400,0.3623142175,0.1612929580655335,2.1589278271862358,completed,2000
0,0.37583333333333335,0.016666666666666666,0.666058256051283,1200,0.03783657585581146,0,,0,0.22792019170491595,frozen-head-travel-test,1.097710670251642,120.21212550007476,132.07284439999967,0.5666666666666667,300,,,,completed,1200
0,0.7966666666666666,0.7966666666666666,0.32858203806666914,300,0.13508442210654426,0,,0,0.7707716747190432,travel-nli-btzsc-independent,0.9810425134616577,30.188520999899993,269.0755419995867,0.0,300,,,,completed,300
0,0.348,0.0025,0.6824009101507565,2000,0.09346035843408564,25,,0,0.2236016577670993,base-trained-typed-independent,1.2068851480785614,360.3238750001765,622.7713668999963,0.0,400,0.6954854622091203,0.2475372004114027,1.233138682382037,completed,1975
184,0.5008333333333334,0.02,0.6425325260539981,1200,0.3044114394734303,0,0.16847826086956522,31,0.4667338613238725,modernbert-nli-baseline-travel-test,1.0176416951025846,135.5201040000793,169.10226695024454,0.6516666666666666,300,,,,completed,1200
612,0.35,0.016666666666666666,0.8190574628672378,1200,0.2729627395917972,0,0.6029411764705882,369,0.19884874138973632,base-trained-travel-test,1.404106062833214,122.87135399992621,139.52628575002564,0.24583333333333332,300,,,,completed,1200
87,0.2925,0.01,0.7654025037151014,400,0.225306406840682,0,0.6551724137931034,57,0.18012005487331254,base-trained-travel-challenge,1.2679354806406045,131.56375049993585,154.5697708496391,0.5375,100,,,,completed,400
0,0.76,0.76,0.3874423333333334,300,0.14003333333333323,0,,0,0.7529533665317979,jev-btzsc-independent,2.5341136270075775,177.71391700011918,302.109097250127,0.0,300,,,,completed,300
0,0.7966666666666666,0.7966666666666666,0.33381970773353603,300,0.13704363358517488,0,,0,0.7704710494184179,modernbert-nli-baseline-btzsc-independent,1.070508454217193,28.280437500143307,258.77078574992544,0.0,300,,,,completed,300
365,0.665,0.17333333333333334,0.48816299741421043,1200,0.1800120087713003,0,0.2328767123287671,85,0.6045846660670685,travel-nli-travel-test,0.8206900435811042,102.91293750015029,130.6056142498619,0.6316666666666667,300,,,,completed,1200
297,0.9625,0.85,0.067558,1200,0.04780833333333333,0,0.0,0,0.9575998251727044,jev-travel-test,0.1301837633114071,173.7303335003162,268.42907499969897,0.3958333333333333,300,,,,completed,1200
0,0.4225,0.0175,0.8821300781652532,2000,0.33353851732611656,0,,0,0.24479178641002225,travel-nli-typed-independent,2.306497611173676,347.65866650013777,604.6120375003281,0.0,400,0.6793441454938965,0.49795896797579553,2.49663939158055,completed,2000
0,0.18666666666666668,0.18666666666666668,0.837942633425027,300,0.034154483849803595,0,,0,0.14385086724461885,base-trained-btzsc-independent,2.341546524882023,37.179291500251566,262.48080624991417,0.0,300,,,,completed,300
